,titles,location,number of rooms,floor,house size,prices
0,Bahçelievler FeritselimpaşaCaddesiYak. B...,Bahçelievler - Soğanlı Mahallesi,2+1,3. Kat,110,565.000 TL
1,Site İçerisin'de Otoparklı 110M2 2+1 Ars...,Sultangazi - İsmetpaşa Mahallesi,2+1,1. Kat,110,650.000 TL
2,GAYRETTEPEDE 3+1 145 m2 4. KAT OTOPARKL...,Beşiktaş - Gayrettepe Mahallesi,3+1,4. Kat,145,1.600.000 TL
3,Çekmeköy Alemdağ İnci Evleri Sitesi'nde...,Çekmeköy - Alemdağ Mahallesi,3+1,Yüksek Giriş,145,760.000 TLarrow_downwardESKİ FİYATI795.000 TL
4,Maltepe Fındıklı'da Kaçırılmayacak Fırs...,Maltepe - Fındıklı Mahallesi,3+1,Yüksek Bodrum,105,380.000 TLarrow_downwardESKİ FİYATI385.000 TL
5,EMİR YAPIDAN SİTE İÇİNDE İÇİ FULL YAPILI...,Esenyurt - Saadetdere Mahallesi,2+1,3. Kat,130,570.000 TLarrow_downwardESKİ FİYATI630.000 TL
6,Bahçelievler Yenibosna satılık arakat 2...,Bahçelievler - Zafer Mahallesi,2+1,3. Kat,120,515.000 TLarrow_downwardESKİ FİYATI550.000 TL
7,FATİH AKDENİZ CADDESİNE YAKIN  SATILIK ...,Fatih - Akşemsettin Mahallesi,4+1,4. Kat,170,830.000 TL
8,FAMİLY GAYRİMENKUL DEN SATILIK 2+1 DAİRE...,Bahçelievler - Şirinevler Mahallesi,2+1,Bahçe Katı,80,395.000 TL
9,FEBA TEK YETLİLİ!KOMPLE ÖZGÜRLÜK PARKIM...,Kadıköy - Göztepe Mahallesi,4+2,10. Kat,220,3.600.000 TLarrow_downwardESKİ FİYATI3.800.000 TL
10,ŞİŞLİ DE   PIRESTIJLİ REZİDANSINDA SATLI...,Residence / Şişli - Mecidiyeköy Mahallesi,3+1,4. Kat,210,6.600.000 TL
11,DEPREM SONRASİ 3+1 135 M2 NET GENİS DAİR...,Büyükçekmece - Atatürk Mahallesi,3+1,3. Kat,150,640.000 TL
12,TURYAP ALİBEYKÖY'DEN SATILIK CADDE ÜSTÜ...,Eyüpsultan - Alibeyköy Mahallesi,3+1,2. Kat,115,775.000 TL
13,FAMİLY GAYRİMENKUL MERKEZ MAHALLESİ 120 ...,Bahçelievler - Hürriyet Mahallesi,3+1,4. Kat,130,680.000 TL
14,Şişli Teşvikiye 2+1 85m2 Amerikan Hastan...,Şişli - Teşvikiye Mahallesi,2+1,3. Kat,90,2.650.000 TL
15,BAHÇELİEVLER KOCASİNAN DA 3+1 DAİRE,Bahçelievler - Kocasinan Merkez Mahallesi,3+1,Kot 3,(-3).,870.000 TL
16,ACIBADEM SAKİNLERE YAKIN 4+1 DUBLEX SIF...,Kadıköy - Acıbadem Mahallesi,4+1,Çatı Dubleks,220,1.850.000 TL
17,KADIKÖY BAHARİYE SÜREYYA OPERASI KARŞISI...,Kadıköy - Osmanağa Mahallesi,3+1,5. Kat,155,1.950.000 TLarrow_downwardESKİ FİYATI2.050.000 TL
18,Bağcılar Mahmutbey Mahallesi Satılık Da...,Bağcılar - Mahmutbey Mahallesi,3+1,2. Kat,120,650.000 TL
