,Binanın Yaşı,Binanın Kat Sayısı,Banyo Sayısı,Site İçerisinde,Isıtma Tipi
0,20,5,1,0,Kombi Doğalgaz
1, 4,5, 1, 0, Kombi Doğalgaz
2, 20,4, 1, 0, Merkezi Doğalgaz
3, 11-20,7, 1, 0, Kombi Doğalgaz
4, 11-20,4, 1, 0, Kombi Doğalgaz
5, 5-10,5, 2, 1, Kombi Doğalgaz
6, 20,5, 1, 0, Kombi Doğalgaz
7, 20,4, 1, 0, Kat Kaloriferi
8, 0,5, 1, 0, Kombi Doğalgaz
9, 3,11, 3, 0, Merkezi (Pay Ölçer)
10, 4,30, 2, 0, Merkezi Doğalgaz
11, 11-20,4, 2, 0, Kombi Doğalgaz
12, 5-10,5, 2, 0, Kombi Doğalgaz
13, 11-20,4, 1, 0, Kombi Doğalgaz
14, 4,5, 1, 0, Kombi Doğalgaz
15, 5-10,4, 1, 0, Kombi Doğalgaz
16, 0,5, 2, 0, Kombi Doğalgaz
17, 20,6, 2, 0, Merkezi Doğalgaz
18, 5-10,3, 1, 0, Kombi Doğalgaz
19, 11-20,4, 3, 0, Kombi Doğalgaz
20, 3,4, 1, 0, Kombi Doğalgaz
21, 20,15, 2, 0, Merkezi Doğalgaz
22, 11-20,4, 4, 0, Kombi Doğalgaz
23, 2,5, 1, 0, Kombi Doğalgaz
24, 0,12, 3, 0, Kombi Doğalgaz
25, 3,3, 1, 0, Kombi Doğalgaz
26, 5-10,4, 1, 0, Kombi Doğalgaz
27, 4,10, 2, 0, Kombi Doğalgaz
28, 0,4, 1, 0, Kombi Doğalgaz
29, 20,5, 0, 0, Merkezi Doğalgaz
30, 5-10,19, 2, 0, Merkezi (Pay Ölçer)
31, 0,7, 2, 0, Merkezi (Pay Ölçer)
32, 20,5, 1, 0, Kombi Doğalgaz
33, 20,5, 1, 0, Doğalgaz Sobalı
34, 20,5, 1, 0, Kombi Doğalgaz
35, 1,18, 2, 0, Merkezi (Pay Ölçer)
36, 0,4, 1, 0, Kombi Doğalgaz
37, 3,6, 1, 0, Merkezi (Pay Ölçer)
38, 2,20, 1, 0, Merkezi (Pay Ölçer)
39, 5-10,30, 1, 0, Merkezi (Pay Ölçer)
40, 5-10,30, 3, 0, Merkezi (Pay Ölçer)
41, 5-10,4, 1, 0, Kombi Doğalgaz
42, 5-10,17, 2, 0, Merkezi (Pay Ölçer)
43, 5-10,30, 1, 0, Merkezi (Pay Ölçer)
44, 5-10,14, 2, 0, Merkezi (Pay Ölçer)
45, 20,6, 2, 0, Kombi Doğalgaz
46, 4,9, 1, 0, Kombi Doğalgaz
47, 20,4, 1, 0, Merkezi Doğalgaz
48, 5-10,14, 1, 0, Merkezi (Pay Ölçer)
49, 2,4, 1, 0, Yerden Isıtma
50, 0,5, 1, 0, Kombi Doğalgaz
51, 0,6, 2, 0, Merkezi (Pay Ölçer)
52, 20,7, 1, 0, Kombi Doğalgaz
53, 0,5, 1, 0, Kombi Doğalgaz
54, 20,13, 1, 1, Kombi Doğalgaz
55, 4,14, 2, 0, Merkezi (Pay Ölçer)
56, 11-20,9, 1, 0, Kombi Doğalgaz
57, 2,5, 1, 0, Kombi Doğalgaz
58, 20,4, 1, 0, Kombi Doğalgaz
