,İlan Başlığı,Semt,Mahalle,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
0, ESENYURT MEYDAN'DA 2+1 115M2 2+1 ÇİFT BALKONLU LÜX DAİRE,Esenyurt,Bağlarçeşme Mahallesi,3+1,0,9,6. Kat,130,1,0,KombiDoğalgaz,399000
1, ESENYURT ATATÜRK MH. ACİLLL SATILIK BAHÇELİ BAHÇE KATI , Esenyurt, Atatürk Mahallesi,2+1,4,6,Bahçe Katı,130,1,0,KombiDoğalgaz,190000
2, ÖZ AKTAŞ'TAN ESENYURT'TA CADDE'YE KOMSU MÜTHİŞ KONUMDA 2+1 110M2, Esenyurt, Pınar Mahallesi,2+1,0,5,2. Kat,110,1,0,KombiDoğalgaz,315000
3, MARİN İNŞAAT'TAN METROBÜSE YAKIN YATIRIM İÇİN BİRE BİR DAİRELER!, Esenyurt, Mehterçeşme Mahallesi,3+1,2,6,3. Kat,130,2,0,KombiDoğalgaz,240000
4, BEYLİKDÜZÜNDE ÖZEL MİMARİ TASARIM 3+1 METROBÜSE 10 DK SATILIK, Beylikdüzü, Yakuplu Mahallesi,3+1,0,6,2. Kat,145,1,0,KombiDoğalgaz,548000
5, TEK YETKİLİ! ÖZEL YAPIM EBEVYN+3 BALKON+Ç.ODASI EMSALSİZ LÜX 3+1, Maltepe, Altıntepe Mahallesi,3+1,20,4,2. Kat,140,2,0,KombiDoğalgaz,829000
6, ÖZ AKTAŞ'TAN MUHTEŞEM KONUMDA 3+1 Y.GİRİŞ LÜX DAİRE, Esenyurt, Battalgazi Mahallesi,3+1,0,5,Kot 1 (-1). Kat,125,1,0,KombiDoğalgaz,299000
7, ÖZ AKTAŞ'TAN CADDE ÜSTÜ PARK MANZARALI 90M2 2+1 LÜX DAİRE, Esenyurt, Osmangazi Mahallesi,2+1,0,5,2. Kat,100,1,0,KombiDoğalgaz,289000
8, ÖZ AKTAŞ'TAN SIFIR BİNADA 2+1 UYGUN ORTA KAT LÜX DAİRE, Esenyurt, Pınar Mahallesi,2+1,0,5,2. Kat,100,1,0,KombiDoğalgaz,275000
9, İNŞAAT FİRMASINDAN ESENYURT KIRAÇ'TA 3+1 TEK DAİRE ÜZERİ, Esenyurt, Hürriyet Mahallesi,3+1,4,5,2. Kat,145,1,0,MerkeziDoğalgaz,419000
10, ÖZ AKTAŞ'TAN MUHACİR MAHAHLLESİNDE 2+1 110M2 DEKORLU LÜX DAİRE, Esenyurt, Osmangazi Mahallesi,2+1,0,5,2. Kat,110,1,0,KombiDoğalgaz,335000
11, ÖZ AKTAŞ'TAN YENİ BİNADA SIFIR DAİRE 90M2 2+1 KREDİYE UYGUN, Esenyurt, Necip Fazıl Kısakürek Mahallesi,2+1,0,5,2. Kat,100,1,0,KombiDoğalgaz,285000
12, İNŞAAT FİRMASINDAN PARKA KOMSU GENİŞ 3+1 ORTA KAT DAİRE, Esenyurt, Çınar Mahallesi,3+1,0,5,2. Kat,145,2,0,KombiDoğalgaz,399000
13,ÖZ AKTAŞ'TAN SİTE İÇERİSİNDE 100M2 KÖŞE DAİRE 2+1 , Esenyurt, İstiklal Mahallesi,2+1,3,20,6. Kat,110,1,0,KombiDoğalgaz,359000
14, ÖZ AKTAŞ'TAN KREDİYE UYGUN LÜX DEKORLU 2+1 100M2 ARAKAT DAİRE, Esenyurt, Çınar Mahallesi,2+1,0,5,2. Kat,110,1,0,KombiDoğalgaz,289000
15, BEYLİKDÜZÜ YAKUPLU'DA GENİŞ METROBÜSE YAKIN 2+1 DAİRE , Beylikdüzü, Yakuplu Mahallesi,2+1,0,4,2. Kat,105,1,0,KombiDoğalgaz,439000
