index,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
0," Unique Layout, Bright & Stylish Apartment For Sale in Beylikduzu",Beylikdüzü,Cumhuriyet Mahallesi,Konut,2+1,5-10,4,Bodrum,90,2,1,0,MerkeziDoğalgaz,195000
1," Yeni Binada Ara Kat, Sıfır, e5 in Yanıbaşında Ön Cephe 3+1",Avcılar, Gümüşpala Mahallesi,Konut,3+1,0,4,3. Kat,140,2,1,0,KombiDoğalgaz,965000
2, KUYUMCUKENT VİZYON PARK BİT PAZARINA YAKIN SATILIK 2+1 DAİRE,Bahçelievler, Çobançeşme Mahallesi,Konut,2+1,11-20,4,3. Kat,95,1,2,0,KombiDoğalgaz,575000
3,Taşdelen Merkezde Muhteşem Manzaralı 4+2 İskanlı Asansörlü Daire ,Çekmeköy, Taşdelen Mahallesi,Konut,4+2,4,7,Çatı Dubleks,180,2,3,0,KombiDoğalgaz,1600000
4, Esenyurt  Regnum  Astrum Towers 'da 1+1 Satılık Daire ,Esenyurt, Akevler Mahallesi,Konut,1+1,5-10,40,30. Kat,90,1,1,1,Merkezi(PayÖlçer),580000
5, FATİH EMLAK TAN 1+1 YUKSEK GİRİŞ KREDİYE UYGUN KULLANIŞLI DAİRE ,Bahçelievler, Zafer Mahallesi,Konut,1+1,5-10,4,Giriş,75,1,1,0,KombiDoğalgaz,325000
6, SANCAKTEPE YUNUS EMRE MAHALLESİNDE 2+1 FIRSAT DAİRE ,Sancaktepe, Yunus Emre Mahallesi,Konut,2+1,1,4,2. Kat,100,1,2,0,KombiDoğalgaz,420000
7, METROBÜSE KOMŞU OLMAYA NE DERSİNİZ? HADİ ÖDEME PLANNI KONUŞALM !,Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,0,15,7. Kat,130,2,1,0,KombiDoğalgaz,245000
8, ATAKÖY 5. KISIM A TİPİ ARA KAT 3+1 SIFIR TADİLATLI SATILIK DAİRE,Bakırköy, Ataköy 2-5-6. Kısım Mahallesi,Konut,3+1,20,14,4. Kat,125,1,1,1,MerkeziDoğalgaz,1610000
9, KESKİNLER GAYİMENKULDEN 2+1 UYGUN FİYATA DAİRE,Küçükçekmece, İnönü Mahallesi,Konut,2+1,5-10,4,Bahçe Katı,80,1,1,0,KombiDoğalgaz,365000
10," SARIYER’DE, BOĞAZ MANZARALI, HAVUZLU SATILIK MÜSTAKİL VİLLA",Sarıyer, Büyükdere Mahallesi,Konut,7+3,20,5,Müstakil,1200,6,1,0,KombiDoğalgaz,72000000
11, ÖZ AKTAŞ'TAN HAFTANIN KELEPİR UYGUN DUBLEXİ 4+2 435.000₺,Esenyurt, Necip Fazıl Kısakürek Mahallesi,Konut,4+2,4,5,Çatı Dubleks,280,3,3,0,KombiDoğalgaz,435000
12,ÖZ AKTAŞ'TAN ESENYURT MERKEZ'DE 2+1 115M2 KÖŞE DAİRE ,Esenyurt, Bağlarçeşme Mahallesi,Konut,2+1,2,5,4. Kat,120,1,1,0,KombiDoğalgaz,375000
13," Rami Cuma da 4 Yıllık , 110m2 , 2+1 ,Manzaralı , Otoparklı Daire",Eyüpsultan, Rami Cuma Mahallesi,Konut,2+1,4,4,2. Kat,110,1,1,0,KombiDoğalgaz,625000
14, Tual Bahçekent'de 2+1 Satılık Büyük M2 Daire,Başakşehir, Bahçeşehir 2. Kısım Mahallesi,Konut,2+1,1,15,10-20,140,1,1,1,Merkezi(PayÖlçer),1600000
15, METROBÜSE 2DK CUMA PAZARINDA KREDİLİ SIFIR BİNA,Bahçelievler, Çobançeşme Mahallesi,Konut,2+1,0,5,3. Kat,95,1,1,0,KombiDoğalgaz,675000
16, SANCAKTEPE MEVLANA MAHALLESİNDE SATILIK 2+1 DAİRE,Sancaktepe, Mevlana Mahallesi,Konut,2+1,5-10,4,2. Kat,90,1,0,0,KombiDoğalgaz,315000
17,BAKIRKOY ZUHURATBABA 'DA 1+1 60 M2 SATILIK BAHCEKATI,Bakırköy, Zuhuratbaba Mahallesi,Konut,1+1,20,5,Bahçe Katı,70,1,1,0,KombiDoğalgaz,650000
18, ÖZ AKTAŞ'TAN PINAR MAH'DE HAFTANIN KELEPİR DAİRESİ 2+1 115M2,Esenyurt, Pınar Mahallesi,Konut,2+1,2,5,2. Kat,125,1,1,0,KombiDoğalgaz,285000
19, BÜYÜKÇEKMECE MİMARSİNAN DOKTORLAR SİTESİNDE 160 M2 2.KAT,Büyükçekmece, Mimar Sinan Merkez Mahallesi,Konut,3+1,20,4,2. Kat,160,1,2,1,KombiDoğalgaz,600000
20,MAYA RESIDENCE SATILIK 6+1 LÜKS 500M2 YÜKSEK TAVANLI PENTHOUSE,Beşiktaş, Etiler Mahallesi,Konut,6+1,11-20,6,5. Kat,500,4,1,1,Merkezi(PayÖlçer),56000000
